name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId,gameAgeDays,revenuePerCopy
SpellRogue,2024-12-02,38313,15.99,504572.0,22.424010541240484,0,Indie,Ghost Ship Publishing,Guidelight Games,1990110,-84,13.169733510818782
SILENT BREATH,2024-05-04,55920,9.99,478886.0,1.253684919186634,70,Indie,EXODIAC STUDIOS,EXODIAC STUDIOS,2796180,128,8.563769670958512
Romantic Escapades,2024-02-08,27493,19.99,478599.0,4.777122589943246,89,Indie,Salamander Interactive,Salamander Interactive,2897760,214,17.40803113519805
Loop Queen-Escape Dungeon 3,2024-08-01,28946,19.99,469651.0,5.51790199892241,84,Indie,"Hide Games,PlayMeow",Hide Games,1950450,39,16.225074276238512
Anonymous Hacker Simulator,2024-03-04,30891,19.99,469375.0,7.376180049745447,86,Indie,"G-DEVS.com,CreativeForge Games",Sicarius,2487060,189,15.194555048395973
Dream Engines: Nomad Cities,2024-09-05,23463,29.99,458980.0,24.13013396183912,75,Indie,"Suncrash,Gamera Games",Suncrash,1076750,4,19.561863359331713
SUMMERHOUSE,2024-08-03,124989,4.99,457163.0,2.329047690339736,95,Indie,Future Friends Games,Friedemann,2533960,37,3.6576258710766547
Self Defense Dojo,2024-11-04,49053,10.99,454488.0,9.62940872357666,87,Indie,WAKUWAKU,WAKUWAKU,2534120,-56,9.265243715980674
失业了，我获得了亿万游戏财产！,2024-08-08,41154,12.99,442047.0,5.434507313639457,0,Indie,Bolingogames,Bolingogames,2875140,32,10.741288817611897
Guardians of Eden-Embrace of the Forest,2024-07-03,47876,10.99,440759.0,3.4102798584792144,93,Indie,"Mango Party,Mango Party News",Black Cat Entertainment,2672430,68,9.206262010192999
Touhou Hero of Ice Fairy,2024-03-04,113539,6.99,426279.0,7.463627015339362,98,Indie,GAMEPULSE 游戏脉冲,GAMEPULSE 游戏脉冲,1955830,189,3.7544720316367064
River Town Factory,2024-06-02,49851,14.99,422423.0,22.97850275057128,91,Indie,"iFAction Studio,BD Games",iFAction Studio,2281410,99,8.473711660749032
Enishia and the Binding Brand,2024-10-05,36535,14.99,420150.0,8.334240655135321,89,Indie,Kagura Games,Shimobashira Workshop,2582650,-26,11.49993157246476
TRIBES 3: Rivals,2024-12-03,25090,19.99,409596.0,23.34107405843711,73,Indie,Prophecy Games,Prophecy Games,2687970,-85,16.325069748903946
Children of the Sun,2024-09-04,29898,14.99,405492.0,2.7145806764945544,94,AA,Devolver Digital,René Rother,1309950,5,13.562512542644994
Contra: Operation Galuga,2024-12-03,12497,39.99,398126.0,8.399051408132877,87,AA,KONAMI,WayForward,2235020,-85,31.857725854205007
LoveCraft,2024-09-04,17668,0.0,382551.0,61.80570131947321,79,Indie,WEALTHBIRD,WEALTHBIRD,2692440,5,21.652196060674665
Garten of Banban 7,2024-10-05,42078,9.99,378109.0,4.023750790547608,83,Indie,Euphoric Brothers,Euphoric Brothers,2693060,-26,8.985907124863349
Withering Rooms,2024-05-04,17777,24.99,373115.0,18.018266950413388,98,Indie,Perp Games,Moonless Formless,2006140,128,20.988637002868874
Sketchy's Contract,2024-09-04,51018,8.99,367697.0,10.275375648935109,83,Indie,Dimensionless Games,Dimensionless Games,2823080,5,7.207201379905132
